City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,cape town,20,ZA,1554437464,76,-33.93,18.42,60.01,10.29
1,mataura,80,NZ,1554437406,62,-46.19,168.86,52.0,6.17
2,atuona,68,PF,1554437708,98,-9.8,-139.03,82.94,15.01
3,spirit river,90,CA,1554438132,79,55.78,-118.84,28.4,8.05
4,vestmannaeyjar,88,IS,1554437700,96,63.44,-20.27,36.23,3.83
5,ginda,20,IN,1554435000,54,30.69,78.49,78.8,3.36
6,sabha,64,LY,1554438147,48,27.03,14.43,65.93,8.52
7,nikolskoye,0,RU,1554437436,64,59.7,30.79,36.0,2.24
8,barrow,8,AR,1554437708,81,-38.31,-60.23,55.49,11.43
9,qinhuangdao,64,CN,1554437721,20,39.94,119.59,55.31,6.51
10,albany,75,US,1554437684,39,42.65,-73.75,34.0,6.93
11,ayr,75,GB,1554438015,87,55.46,-4.63,43.0,4.7
12,bethel,1,US,1554432960,47,60.79,-161.76,37.4,18.34
13,ushuaia,40,AR,1554433200,80,-54.81,-68.31,39.2,4.7
14,east london,90,ZA,1554435660,93,-33.02,27.91,60.8,16.11
15,vaini,20,IN,1554433200,57,15.34,74.49,77.0,9.17
16,hualmay,24,PE,1554437790,97,-11.1,-77.61,63.86,4.16
17,busselton,0,AU,1554437408,27,-33.64,115.35,69.01,7.52
18,hermanus,68,ZA,1554436839,75,-34.42,19.24,57.0,8.01
19,sal rei,40,CV,1554436800,68,16.18,-22.92,68.0,10.29
20,kaitangata,68,NZ,1554437615,52,-46.28,169.85,53.01,10.0
21,ahome,0,MX,1554437896,81,25.92,-109.18,68.0,1.99
22,klaksvik,0,FO,1554434400,70,62.23,-6.59,42.8,4.7
23,jamestown,0,AU,1554437716,30,-33.21,138.6,85.28,19.37
24,chuy,48,UY,1554437696,95,-33.69,-53.46,67.82,14.56
25,arraial do cabo,0,BR,1554437666,90,-22.97,-42.02,78.53,19.26
26,tutoia,92,BR,1554437858,100,-2.76,-42.27,75.47,0.47
27,port alfred,100,ZA,1554437526,96,-33.59,26.89,61.0,3.0
28,roma,0,IT,1554437665,93,41.89,12.48,45.0,4.7
29,carnarvon,12,ZA,1554437727,72,-30.97,22.13,48.56,15.57
30,high level,40,CA,1554436800,72,58.52,-117.13,15.8,0.92
31,hasaki,75,JP,1554436477,22,35.73,140.83,69.8,18.34
32,punta arenas,75,CL,1554437560,87,-53.16,-70.91,44.6,9.17
33,tuktoyaktuk,20,CA,1554433200,83,69.44,-133.03,-4.01,4.61
34,lebedyn,12,UA,1554438155,75,50.58,34.48,27.59,2.93
35,hobart,75,AU,1554437536,46,-42.88,147.33,75.0,18.34
36,castro,90,CL,1554433200,100,-42.48,-73.76,44.6,2.24
37,santa marta,75,CO,1554433200,55,11.24,-74.21,86.0,13.87
38,mazagao,75,BR,1554433200,100,-0.12,-51.29,75.2,5.82
39,butaritari,48,KI,1554437708,100,3.07,172.79,79.34,5.17
40,ust-nera,20,RU,1554437846,76,64.57,143.24,23.54,2.48
41,kruisfontein,76,ZA,1554437877,84,-34.0,24.73,63.05,10.65
42,rikitea,20,PF,1554437696,100,-23.12,-134.97,76.91,16.69
43,biak,44,ID,1554437819,86,-0.91,122.88,83.84,2.48
44,isangel,90,VU,1554433200,70,-19.55,169.27,86.0,8.05
45,upernavik,44,GL,1554437720,92,72.79,-56.15,10.58,9.98
46,san pedro,20,AR,1554437603,81,-33.68,-59.66,55.99,3.0
47,hithadhoo,0,MV,1554437713,100,-0.6,73.08,82.58,2.15
48,port elizabeth,1,US,1554437734,60,39.31,-74.98,51.8,5.82
49,havelock,1,US,1554438010,82,34.88,-76.9,59.0,3.36
50,majenang,76,ID,1554438033,89,-7.3,108.76,78.26,3.71
51,baherden,8,TM,1554438161,93,38.44,57.43,50.09,3.15
52,katsuura,75,JP,1554437047,67,33.93,134.5,66.2,8.05
53,puerto ayora,92,EC,1554436939,95,-0.74,-90.35,73.99,1.01
54,ixtapa,75,MX,1554438009,94,20.71,-105.21,75.2,3.36
55,gat,12,SN,1554435000,82,14.69,-16.54,69.8,23.04
56,agbor,8,NG,1554438162,94,6.26,6.15,76.19,7.52
57,gladstone,90,AU,1554437586,45,-23.84,151.26,82.99,10.29
58,grand-lahou,88,CI,1554438165,86,5.24,-5.0,79.97,6.51
59,champerico,5,MX,1554432420,48,16.38,-93.6,84.2,6.93
60,huilong,48,CN,1554438166,90,28.89,110.18,61.25,2.93
61,kapaa,40,US,1554437602,57,22.08,-159.32,80.6,8.05
62,gejiu,0,CN,1554437743,53,23.36,103.16,81.0,2.59
63,marsh harbour,68,BS,1554437729,100,26.54,-77.06,74.3,16.58
64,bluff,24,AU,1554437704,44,-23.58,149.07,84.74,12.88
65,porto novo,0,BR,1554436800,78,-23.68,-45.44,73.4,2.24
66,mahebourg,40,MU,1554437642,94,-20.41,57.7,81.0,4.7
67,fare,92,PF,1554437796,100,-16.7,-151.02,81.5,8.75
68,nizhniy lomov,88,RU,1554438171,95,53.53,43.67,32.18,9.19
69,chokurdakh,24,RU,1554437726,100,70.62,147.9,19.31,4.38
70,dingle,0,PH,1554437726,54,11.0,122.67,89.06,10.2
71,lingao,68,CN,1554437760,87,19.91,109.69,78.71,5.39
72,leningradskiy,20,RU,1554437758,100,69.38,178.42,14.36,3.83
73,menongue,68,AO,1554437732,34,-14.66,17.68,75.83,5.17
74,margate,75,AU,1554437776,46,-43.03,147.26,75.0,18.34
75,namtsy,0,RU,1554435000,41,62.72,129.66,39.2,4.27
76,mar del plata,0,AR,1554437710,60,-46.43,-67.52,57.38,18.92
77,tooele,1,US,1554438135,76,40.53,-112.3,59.0,3.36
78,kavalerovo,88,RU,1554438173,79,44.27,135.06,35.78,1.48
79,ust-kuyga,0,RU,1554437826,89,70.0,135.55,32.54,3.94
80,sur,24,OM,1554438173,78,22.57,59.53,81.41,4.72
81,hofn,76,IS,1554437707,100,64.25,-15.21,35.78,10.2
82,lompoc,1,US,1554437444,81,34.64,-120.46,57.2,3.36
83,cabedelo,0,BR,1554433200,94,-6.97,-34.84,77.0,3.36
84,ulaangom,44,MN,1554438175,85,49.98,92.07,40.46,3.15
85,douentza,64,ML,1554438175,72,15.01,-2.95,77.81,3.04
86,bredasdorp,88,ZA,1554433200,76,-34.53,20.04,57.2,4.7
87,kodiak,90,US,1554437676,93,39.95,-94.76,50.0,6.4
88,sao joao da barra,0,BR,1554437735,95,-21.64,-41.05,81.41,18.81
89,nome,90,US,1554437759,100,30.04,-94.42,72.0,6.73
90,udachnyy,36,RU,1554437716,65,66.42,112.4,25.88,3.38
91,nelson bay,75,AU,1554437604,73,-32.72,152.14,75.0,14.99
92,sanandaj,75,IR,1554435000,87,35.31,47.0,42.8,2.48
93,ostrovnoy,64,RU,1554437541,83,68.05,39.51,21.92,8.08
94,geraldton,90,CA,1554433200,67,49.72,-86.95,23.0,6.93
95,kouango,0,CF,1554438177,80,4.99,19.98,72.23,3.38
96,pisco,75,PE,1554433200,83,-13.71,-76.2,69.8,9.17
97,nanortalik,88,GL,1554437800,92,60.14,-45.24,31.64,40.73
98,mosjoen,0,NO,1554436200,51,65.84,13.19,37.4,24.16
99,new norfolk,75,AU,1554437536,46,-42.78,147.06,75.0,18.34
100,sidney,1,US,1554437525,59,47.72,-104.16,55.0,3.36
101,avarua,68,CK,1554435000,74,-21.21,-159.78,78.8,3.36
102,hilo,90,US,1554437416,64,19.71,-155.08,75.2,9.17
103,ahipara,64,NZ,1554437826,82,-35.17,173.16,66.2,9.19
